Course Title,Rating,Level,Schedule,What you will learn,Skill gain,Duration to complete (Approx.),Number of Review
Statistical Inference for Estimation in Data Science,4.1,Intermediate level,Flexible schedule,"Identify characteristics of “good” estimators and be able to compare competing estimators.Construct sound estimators using the techniques of maximum likelihood and method of moments estimation.Construct and interpret confidence intervals for one and two population means, one and two population proportions, and a population variance.",Not specified,28,54
Social and Economic Networks:  Models and Analysis,4.8,Advanced level,Flexible schedule,Not specified,"Social Network, Game Theory, Network Analysis, Network Theory",29,720
Analyzing and Visualizing Data in Looker,4.7,Beginner level,Flexible schedule,"Use dimensions, measures, filters, and pivots to analyze and visualize dataCreate advanced metrics instantaneously with table calculationsCreate visualizations using Looks and dashboardsShare Looker content with others",Not specified,5,313
Software Processes and Agile Practices,4.7,Not specified,Flexible schedule,Distinguish between different process models for organizing software production.Gauge the applicability of process models for a software development project.Apply the fundamentals of Agile software development and management practices.,"Lean Software Development, Scrum (Software Development), Agile Software Development, Software Development Process",8,5204
Introduction to C# Programming and Unity,4.6,Beginner level,Flexible schedule,Not specified,"Video Game Development, C Sharp (C#) (Programming Language), Unity (User Interface), Game Programming",18,2331
Hardware Description Languages for FPGA Design,4.4,Intermediate level,Flexible schedule,Explain the role of HDLs in design entry and verification for FPGAs and ASICsUtilize HDL software tools for FPGA development,"Designing FPGA Logic, Writing code in VHDL, Designing Test Benches, Writing Code in Verilog, Simulating FPGA Designs",36,546
Introduction to High-Throughput Materials Development,4.6,Intermediate level,Flexible schedule,Not specified,Not specified,16,173
Fundamentos de Excel para Negocios,4.8,Beginner level,Flexible schedule,Not specified,"Data Analysis, Printf Format String, Graphics, Table (Information), Mathematical Optimization",20,4939
Preparar datos para la exploración,4.7,Beginner level,Flexible schedule,Explicar los factores que deben tenerse en cuenta a la hora de tomar decisiones respecto de la recopilación de datosAnalizar la diferencia entre datos sesgados y datos imparcialesDescribir bases de datos en relación con sus funciones y componentesDescribir las mejores prácticas a la hora de organizar datos,"Hoja de cálculo, Recopilación de datos, SQL, Ética de datos, Metadatos",22,1076
Foundations of Career Navigating and Coaching,4.7,Beginner level,Flexible schedule,Not specified,"Crisis Intervention, establishing trust, establish coaching agreements, Human-centered coaching",15,102
Managing an Agile Team,4.7,Not specified,Flexible schedule,"How to select and test agile practices to adaptively improve your team’s practice of agile How to create an agile team charter that aligns your team’s focus with company strategy while leaving it free to work creativelyHow to facilitate retrospectives with your team to iteratively, collaboratively improve your practice of agileHow to support your team’s transition to agile","Kanban, agile product management, XP, backlog management, Agile Software Development",11,1312
