Course Title,Rating,Level,Schedule,What you will learn,Skill gain,Duration to complete (Approx.),Number of Review
Impact Measurement & Management for the SDGs,4.8,Not specified,Flexible schedule,Not specified,Not specified,9,506
Machine Learning Data Lifecycle in Production ,4.3,Advanced level,Flexible schedule," Identify responsible data collection for building a fair ML production system.Implement feature engineering, transformation, and selection with TensorFlow ExtendedUnderstand the data journey over a production system’s lifecycle and leverage ML metadata and enterprise schemas to address quickly evolving data.","Convolutional Neural Network, Data Validation, ML Metadata, Data transformation, TensorFlow Extended (TFX)",21,793
Marketing Strategy Specialization,4.4,Beginner level,Flexible schedule,Not specified,"Marketing Plan, Market Research, Positioning (Marketing), Value Proposition",80,3541
Investment Management Specialization,4.8,Beginner level,Flexible schedule,Not specified,"Investment Management, Risk Management, Financial Markets, Finance",40,5991
AI & Law ,4.7,Beginner level,Flexible schedule,"Understand the legal significance of the artificially intelligent software and hardware.Understand the impact of the emergence of artificial intelligence on the application and administration of law in the public sector.Understand the legal relevance of the use of artificially intelligent software in the private sector.Understand the importance of artificial intelligence for selected legal fields, including labour law, competition law and health law.",Not specified,21,408
Marketing Analytics,4.7,Beginner level,Flexible schedule,"How to build and define a brand architecture and how to measure the impact of marketing efforts on brand value over timeHow to measure customer lifetime value  and use that information to evaluate strategic marketing alternatives How to design basic experiments so that you can assess your marketing efforts and invest your marketing dollars most effectivelyHow to set up regressions, interpret outputs, explore confounding effects and biases, and distinguish between economic and statistical significance","Marketing Experiments, Brand Equity, Customer Lifetime Value, Marketing Analytics, Regression Analysis",16,6333
Trading Strategies in Emerging Markets Specialization,4.3,Beginner level,Flexible schedule,Not specified,"Trading Strategy, Algorithmic Trading, Financial Ratio, Trading",80,2004
Digital Product Management: Modern Fundamentals,4.7,Beginner level,Flexible schedule,How to create the actionable focus to successfully manage your product  How to focus your work using modern product management methods  How to manage new products and explore new product ideas How to manage and amplify existing products  ,"Product Management, Product/Market Fit, Innovation Pipeline, Lean Startup, Design Thinking",11,5067
Sales Training for High Performing Teams Specialization,4.7,Beginner level,Flexible schedule,Not specified,"Sales Management, Sales, strategy, career growth",40,550
Principles of Sustainable Finance ,4.7,Intermediate level,Flexible schedule,Learn what the principles of sustainable finance areUnderstand what the interplay is between the UN Sustainable Development Goals and financeUnderstand what the importance of a long-term perspective is Understand the role of finance in the transition to a sustainable economy,Not specified,16,1561
Construction Project Management,4.8,Beginner level,Flexible schedule,"The fundamentals of construction management from construction industry, the role of project manager, contract types, and project delivery methods How to delivery lean project and maintina sustainability Explore technology trends and project planning","Project Management, Construction Management, Work Breakdown Structure, Project Planning",29,6393
Introduction to Clinical Data,4.6,Beginner level,Flexible schedule,How to apply a framework for medical data miningEthical use of data in healthcare decisionsHow to make use of data that may be inaccurate in systematic waysWhat makes a good research question and how to construct a data mining workflow answer it,Not specified,11,271
Business Analytics Specialization,4.7,Beginner level,Flexible schedule,Not specified,"Data Analysis, Analytics, Machine Learning, Rstudio, power bi",80,134
Customer Analytics,4.6,Not specified,Flexible schedule,Not specified,"Predictive Analytics, Customer Analytics, Marketing Performance Measurement And Management, Regression Analysis",11,11643
Social Media Marketing Specialization,4.7,Beginner level,Flexible schedule,Not specified,"Business Planning, Social Media Marketing, Analytics, Influencer Marketing, Digital Marketing",40,4467
Financial Reporting Specialization,4.7,Intermediate level,Flexible schedule,Not specified,"Accounting, Accounting Analysis, Financial Statement",160,584
Introduction to Finance: The Basics,4.7,Beginner level,Flexible schedule,Build a financial knowledge base by understanding essential topics in modern finance. Develop an understanding of the issues managers must consider when making financial decisions.Be ready to conduct analysis using information from financial statements.Understand and apply the time value of money in order to value financial and real asset investments and to make investment decisions.,"Financial Management, Finance, Future Value, Leadership And Management",18,323
An Introduction to Consumer Neuroscience & Neuromarketing ,4.7,Beginner level,Flexible schedule,Not specified,"Consumer Behaviour, Marketing, Consumer Neuroscience, Neuromarketing",25,3132
Investment and Portfolio Management Specialization,4.5,Beginner level,Flexible schedule,Not specified,"Performance Attribution, Behavioral Finance, Financial Markets, Behavioral Economics",80,2065
Marketing Mix Implementation Specialization,4.6,Beginner level,Flexible schedule,Not specified,"Pricing, Communication, Product Management, Marketing",80,3484
Financial Accounting Fundamentals,4.8,Beginner level,Flexible schedule,How to use journal entries to record transactions and prepare and use t-accounts to summarize transactions recorded during an accounting periodThe three most commonly used financial statements and how they fit togetherHow to prepare these financial statements based on transactions recorded during an accounting periodHow to draw basic conclusions about a company's financial health,"Financial Accounting, Accounting, Financial Statement, Balance Sheet",13,2517
Driving business towards the Sustainable Development Goals,4.8,Beginner level,Flexible schedule,"Know what the SDGs are, why they are important and how each individual can be an agent for positive change in the worldDevelop a positive, critical, aware and courageous attitude towards the SDGsBe able to identify interconnectedness of the SDGs and the challenges behind solving themUnderstand the role of business in the transition to sustainable development to create a prosperous future for all",Not specified,15,1282
Moral Foundations of Politics ,4.9,Not specified,Flexible schedule,Not specified,Not specified,44,5560
Using Public Policy for Social Change,4.9,Beginner level,Flexible schedule,Learn to identify and define each step of the public policy-making cycleHow to analyze social issues from a policy perspectiveLearn how advocacy work plays a part in policy-making,"Policy Analysis, Problem Solving, Policy Design, Policy Advocacy, Social Issues",14,14
Microeconomics Principles,4.8,Beginner level,Flexible schedule,Identifying hidden costs of anything,"Economics, Critical Thinking, Microeconomics, Economic Analysis",26,2919
Entrepreneurship 1: Developing the Opportunity,4.8,Not specified,Flexible schedule,Not specified,"Discovery-Driven Planning, Elevator Pitch, Planning, Entrepreneurship",10,4166
Value Chain Management Specialization,4.7,Intermediate level,Flexible schedule,Not specified,"Lean Manufacturing, Program Management, Six Sigma, Process Control, Accounting, Cost, Investment, Analysis Of Variance (ANOVA), Process Analytics, Supply Chain, Inventory, Operations Strategy, Market Analysis, Marketing, Marketing Strategy, Marketing Mix, Marketing Plan, Marketing Management, Writing, Management Accounting, Cost Accounting, Activity Based Costing",120,2719
Marketing en redes sociales de Meta Professional Certificate,4.9,Beginner level,Flexible schedule,"Crear y analizar una campaña publicitaria efectiva para tu público objetivo Crear un brief creativo que incluya los recursos de tu anuncio pagoCrear, editar y solucionar problemas de anuncios en el Administrador de anuncios de FacebookEstablecer y gestionar una presencia en redes sociales","Marketing digital, Publicidad de rendimiento, Marketing en redes sociales, Gestión de marcas, Marketing de contenidos",80,748
AI for Medical Diagnosis,4.7,Intermediate level,Flexible schedule,Not specified,"Multi-class classification, Image Segmentation, Machine Learning, Deep Learning, model evaluation",20,1903
Digital Signal Processing Specialization,4.6,Intermediate level,Flexible schedule,Discover discrete-time signal and analyze them with the Fourier transform.Learn to manipulate signals with filters.Move back and forth from the analog to the digital world.Learn about digital data communication and real-time DSP.,"Fourier Analysis, Audio processing, Ipython, Convulsion, Data Transmission",80,405
Introduction to Agile Development and Scrum,4.9,Beginner level,Flexible schedule,"Adopt the 5 practices of Agile, a subset of DevOps: small batches, minimum viable product, pair programming, behavior- and test-driven development. Write good user stories, estimate and assign story points and track stories using a kanban board.  Incorporate Scrum artifacts, events, and benefits.Create and refine a product backlog using the sprint planning process. Produce potentially shippable product increments with every iteration.Create burndown charts to forecast the ability to meet a sprint goal. Use metrics to enhance performance, productivity, and client satisfaction.","Kanban, Zenhub, Scrum Methodology, Agile Software Development, Sprint Planning",9,1536
International Leadership and Organizational Behavior,4.8,Not specified,Flexible schedule,Not specified,"Social Network, Leadership, Management, Cross-Cultural Communication",16,3136
Financial Acumen for Non-Financial Managers,4.5,Beginner level,Flexible schedule,Not specified,Not specified,8,897
The Fundamentals of Personal Finance Specialization,4.6,Beginner level,Flexible schedule,Not specified,"Personal Finance, Budget, Debt Management Plan, money, Retirement",40,163
"Federal Taxation I: Individuals, Employees, and Sole Proprietors",4.9,Intermediate level,Flexible schedule,Not specified,Not specified,30,608
Information Technology (IT) Fundamentals for Everyone,4.6,Beginner level,Flexible schedule,"Define operating systems, computer components, programming concepts, databases, and explain the differences between commercial and open software  Summarize the importance of computer networks, including wired and wireless connections; explore network resources and storage types in MS Windows  Describe how to protect against security threats, address public browsing security concerns, and list password management best practices  List the benefits of cloud computing, describe the cloud infrastructure layer, virtual machines, and summarize features of ticketing systems","Project Management, Information Technology, Cloud Computing, security, Operating Systems",18,60
Google IT Support Professional Certificate,4.8,Beginner level,Flexible schedule,"Gain skills required to succeed in an entry-level IT jobLearn to perform day-to-day IT support tasks including computer assembly, wireless networking, installing programs, and customer serviceLearn how to provide end-to-end customer support, ranging from identifying problems to troubleshooting and debuggingLearn to use systems including Linux, Domain Name Systems, Command-Line Interface, and Binary Code","Customer Service, Network Protocols, Cloud Computing, Encryption Algorithms and Techniques, Debugging",240,170527
 System Administration and IT Infrastructure Services,4.7,Beginner level,Flexible schedule,Not specified,"Directory Service, Lightweight Directory Access Protocol (LDAP), Backup",26,24044
IBM IT Support  Professional Certificate,4.8,Beginner level,Flexible schedule,"Master the most up-to-date practical skills and tools used by IT support professionals and how to apply them in an everyday professional settingLearn hardware and software skills that help users select, install, and configure their devices, operations systems, and applicationsDevelop a strong IT foundation in topics including cybersecurity, networking, cloud, databases, and be prepared for CompTIA certification examsPractice customer service and troubleshooting skills by using ticketing systems, hands-on labs, demos, and interactive exercises","Customer Service, Technical Support, Cloud, Troubleshooting, IT Fundamentals, Software Application Development, Computer Programming, Software Development Process, Database basics, Wireless Networks, Network Troubleshooting, Network Architecture, Cloud Storage, Networking Hardware, Cybersecurity, Cryptography, Cyberattacks, Information Security (INFOSEC), Application Security, Cloud Computing, Hybrid Multicloud, Devops, Iaas PaaS Saas, Cloud Native, Operating Systems, hardware, Information Technology (IT) Support, Ticketing Systems, Service Level Agreements (SLA), Certification Test, CompTIA ITF+, Exam Practice",120,1315
Information​ ​Systems Specialization,4.8,Beginner level,Flexible schedule,Utilize conceptual frameworks to align IT investments with business strategySpecify business requirements as information system specificationsAssess the fit between business requirements and enterprise systems featuresEvaluate technological alternatives for developing the IT infrastructure for the organization,"Project Management, Critical Thinking, Management",40,1209
Information Technology (IT) and Cloud Fundamentals Specialization,4.8,Beginner level,Flexible schedule,"Operating systems history, installation, configuration, and hardware connectors and peripheral identification and troubleshooting techniques.Software management, cloud computing characteristics, benefits and trends, web browser essentials, software development basics, and database basics.Commonly used storage and network types, common security risks, and secure browsing practices.Application of technical and troubleshooting skills for an IT customer support role.","Software Application Development, Computer Programming, Software Development Process, Database basics, IT Fundamentals, Technical Support, Operating Systems, Troubleshooting, hardware, Cybersecurity, Cryptography, Cyberattacks, Information Security (INFOSEC), Application Security, Cloud Computing, Hybrid Multicloud, Devops, Iaas PaaS Saas, Cloud Native, Certification Test, CompTIA ITF+, Cloud, Exam Practice, Wireless Networks, Network Troubleshooting, Network Architecture, Cloud Storage, Networking Hardware",80,388
Technical Support Fundamentals,4.8,Beginner level,Flexible schedule,Not specified,"Binary Code, Customer Support, Linux, Troubleshooting",28,147559
Computer Hardware and Software,4.4,Beginner level,Flexible schedule,Identify the basic hardware components of a computer. Explain how software creates a functional and productive computer. Build a basic computer.,"Building Computers, Computer Software, Computer Hardware",11,111
Introduction to Information Technology and AWS Cloud,4.8,Beginner level,Flexible schedule,Gain a foundational understanding of how computers workLearn how computers talk to each other to exchange data,"Cloud Computing Security, Project Management, Data Analysis, Information Technology, Cloud Computing",6,87
Crash Course on Python,4.8,Beginner level,Flexible schedule,"Understand what Python is and why Python is relevant to automationWrite short Python scripts to perform automated actionsUnderstand how to use the basic Python structures: strings, lists, and dictionariesCreate your own Python objects","Python Programming, Basic Python Syntax, Basic Python Data Structures, Object-Oriented Programming (OOP), Fundamental Programming Concepts",39,35221
IBM Cybersecurity Analyst Professional Certificate,4.6,Beginner level,Flexible schedule,Develop knowledge of cybersecurity analyst tools including data protection; endpoint protection; SIEM; and systems and network fundamentals.   Learn about key compliance and threat intelligence topics important in today’s cybersecurity landscape. Gain skills for incident responses and forensics with real-world cybersecurity case studies.Get hands-on experience to develop skills via industry specific and open source Security tools.,"information security analyst, Junior cybersecurity analyst, IT security analyst, security analyst",160,11183
IBM Full Stack Software Developer Professional Certificate,4.5,Beginner level,Flexible schedule,"Master the most up-to-date practical skills and tools that full stack developers use in their daily rolesLearn how to deploy and scale applications using Cloud Native methodologies and tools such as Containers, Kubernetes, Microservices, and ServerlessDevelop software with front-end development languages and tools such as HTML, CSS, JavaScript, React, and BootstrapBuild your GitHub portfolio by applying your skills to multiple labs and hands-on projects, including a capstone","Git (Software), Cloud Applications, HTML, Cloud Computing, Distributed Version Control (DRCS), open source, JavaScript, Hybrid Multicloud, Devops, Cascading Style Sheets (CSS), Iaas PaaS Saas, Cloud Native",160,5163
Cybersecurity for Everyone,4.7,Beginner level,Flexible schedule,Not specified,Not specified,21,1313
Introduction to Networking and Storage,4.7,Beginner level,Flexible schedule,"Identify wired and wireless network types, explain physical and logical topology, differentiate network cable types and what each is used for. List common network devices. Discover what packets are and how IP addresses work, and explain what protocols are and why models are necessary.Determine how to set up and encrypt networks and mobile devices. Diagnose connectivity issues and utilize the command prompt and Windows Settings.List network drive types, explain RAM, ROM, and RAID, and troubleshoot storage issues. Explain STaaS, and define file, block, and object storage. ","Wireless Networks, Network Troubleshooting, Network Architecture, Cloud Storage, Networking Hardware",12,319
Cybersecurity Operations Fundamentals Specialization,4.8,Beginner level,Flexible schedule,"The concepts behind TCP/IP networking communicationThe basics of networking communication, common attack vectors, and malicious activitiesThe patterns of suspicious behaviors typically encountered when working in a Security Operations Center (SOC)","Cybersecurity, Network Security, Information Security (INFOSEC), Security Operations Center (SOC), Cyber",24,166
"Information Systems Auditing, Controls and Assurance",4.7,Beginner level,Flexible schedule,Not specified,"Information Technology (IT) Management, Risk Management, Change Management, Information Security (INFOSEC), Audit",8,3262
Google IT Automation with Python Professional Certificate,4.8,Beginner level,Flexible schedule,"Automate tasks by writing Python scriptsUse Git and GitHub for version controlManage IT resources at scale, both for physical machines and virtual machines in the cloud Analyze real-world IT problems and implement the appropriate strategies to solve those problems","Configuration Management, Python Programming, Using Version Control, Troubleshooting & Debugging, Automation",240,35825
Computer and Peripheral Hardware,4.6,Beginner level,Flexible schedule,"Identify basic cable types and their connectors, features, and purposes.Explain and configure motherboards, central processing units (CPUs), and add-on cards.Demonstrate knowledge of several types of memory and their installation.",Not specified,25,14
New Technologies for Business Leaders,4.4,Intermediate level,Flexible schedule,Not specified,Not specified,18,381
Microsoft Cybersecurity Analyst Professional Certificate,4.8,Beginner level,Flexible schedule,"Understand the cybersecurity landscape and learn core concepts foundational to security, compliance, and identity solutions.Understand the vulnerabilities of an organizations network and mitigate attacks on network infrastructures to protect data.Develop and implement threat mitigation strategies by applying effective cybersecurity measures within an Azure environment.   Demonstrate your new skills with a capstone project and prepare for the industry-recognized Microsoft SC-900 Certification exam.   ","Cloud Computing Security, Computer Security Incident Management, Network Security, Penetration Test, Threat mitigation",240,804
IBM Data Engineering Professional Certificate,4.6,Beginner level,Flexible schedule,"Master the most up-to-date practical skills and knowledge data engineers use in their daily rolesLearn to create, design, & manage relational databases & apply database administration (DBA) concepts to RDBMSs such as MySQL, PostgreSQL, & IBM Db2 Develop working knowledge of NoSQL & Big Data using MongoDB, Cassandra, Cloudant, Hadoop, Apache Spark, Spark SQL, Spark ML, and Spark Streaming Implement ETL & Data Pipelines with Bash, Airflow & Kafka; architect, populate, deploy Data Warehouses; create BI reports & interactive dashboards ","Data Science, Data Analysis, Python Programming, ETL & Data Pipelines, NoSQL and Big Data, SQL, Apache Spark, Database (DBMS), Relational Database Management Systems (RDBMS)",200,3911
Foundations of Software Testing and Validation,4.6,Beginner level,Flexible schedule,"Describe various types of software testing and identify their advantages and disadvantages.Explain the significance of software testing in the software development process, recognising when and why testing should be employed.Apply knowledge of testing techniques to design effective test cases, evaluate their effectiveness, and generate comprehensive testing plans.Gain digital skills as part of Click Start! Follow the link in the instructor bio to see if you're eligible for FREE access to this course and more..","Software Testing, Software Development, Validation",5,101
IBM IT Project Manager Professional Certificate,4.8,Beginner level,Flexible schedule,"Master the most up-to-date practical skills and tools IT project managers use in their daily rolesLearn Agile concepts of adaptive planning, iterative development, and continuous improvement leading to early deliveries and high customer valueTrack and manage projects, including addressing difficult client situations and how activities shift throughout the project management lifecycleApply your new skills to real-world projects and hands-on labs","Project Management, Scrum Master, Risk Management, Communication, Information Technology, Leadership, agile",160,375
Google Cloud Fundamentals: Core Infrastructure,4.7,Beginner level,Flexible schedule,Identify the purpose and value of Google Cloud products and services.Define how infrastructure is organized and controlled in Google CloudExplain how to create a basic infrastructure in Google CloudSelect and use Google Cloud storage options,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing",5,47588
JavaScript Security Specialization,4.5,Intermediate level,Flexible schedule,XSS and remote code execution. Regular expressions.CSRF and browser security. ,"Secure Coding, Node.Js, JavaScript",40,58
Akamai Network Engineering Professional Certificate,4.8,Beginner level,Flexible schedule,"Basic understanding of Linux and OS management using shell commands. Practical experience working with key networking technology.Learn network theory & implement networking tech like TCP/IP, DNS, DHCP, application layer protocols like HTTP(S), VLANs, routing, & wireless tech.Master basic SQL commands for database management and data analysis.Understand security management and create scripts to interact with users and process security events.","Basics of Databases (SQL/NoSQL), Linux/Unix System Administration, Troubleshooting Skills, Computer Network, Debugging techniques",160,26
Google شهادة تقنية المعلومات من Professional Certificate,4.8,Beginner level,Flexible schedule,"●	اكتساب المهارات اللازمة للنجاح في مجال تكنولوجيا المعلومات على مستوى المبتدئين●	تعلم كيفية أداء مهام دعم تكنولوجيا المعلومات اليومية بما في ذلك تجميع الكمبيوتر والشبكات اللاسلكية وتثبيت البرامج وخدمة العملاء●	التعرّف على كيفية توفير دعم شامل للعملاء، بدءًا من تحديد المشكلات إلى استكشاف الأخطاء وإصلاحها وكذلك تصحيح الأخطاء●	تعلم كيفية استخدام الأنظمة بما في ذلك Linux وأنظمة أسماء المجالات وواجهة سطر الأوامر والرمز الثنائي","File Shortcut, Privacy, Operating Systems, Troubleshooting, Directory Service, Email, Provisioning, Network Service, Subnetwork, Network Layer, Virtual Private Network (VPN), Switches, Malware, Cryptography, Disk Encryption, Reverse Proxy, Systems Monitoring, Interfaces, Process State",240,402
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",4.8,Beginner level,Flexible schedule,Not specified,"Microsoft PowerPoint, Microsoft Excel, Microsoft Word",17,5627
Introduction to Hardware and Operating Systems,4.8,Beginner level,Flexible schedule,"Demonstrate an understanding of operating system fundamentals. Recognize desktop and laptop hardware components and devices.Identify and describe internal desktop and laptop computer components, interfaces, and peripherals. Explain basic workstation setup, locate operating system settings, and identify good troubleshooting practices.","Technical Support, Operating Systems, Troubleshooting, hardware, IT Fundamentals",17,948
Microsoft Power BI Data Analyst Professional Certificate,4.6,Beginner level,Flexible schedule,Learn to use Power BI to connect to data sources and transform them into meaningful insights.  Prepare Excel data for analysis in Power BI using the most common formulas and functions in a worksheet.     Learn to use the visualization and report capabilities of Power BI to create compelling reports and dashboards.  Demonstrate your new skills with a capstone project and prepare for the industry-recognized Microsoft PL-300 Certification exam.   ,"Data Analysis, Microsoft Excel, SQL, power bi, Power Query",200,1657
Introduction to Cybersecurity Essentials,4.8,Beginner level,Flexible schedule,"Recognize the importance of data security, maintaining data integrity, and confidentialityDemonstrate the installation of software updates and patchesIdentify preferred practices for authentication, encryption, and device securityDiscuss types of security threats, breaches, malware, social engineering, and other attack vectors","Cybersecurity, Cryptography, Cyberattacks, Information Security (INFOSEC), Application Security",12,418
 IT Security: Defense against the digital dark arts ,4.8,Beginner level,Flexible schedule,Not specified,"Cybersecurity, Wireless Security, Cryptography, Network Security",32,21408
Health Information Technology Fundamentals,4.8,Not specified,Flexible schedule,Not specified,Not specified,6,317
Healthcare Data Management and Information Systems,0,Beginner level,Flexible schedule,Identify the impact of data analytics AI and ML on healthcare outcomesIdentify current issues related to digital security and privacyEvaluate healthcare spending to determine return on investmentIdentify emerging trends and developments in the field of healthcare informatics,"Health Informatics, Data Security, Data Management, Digital transformation",16,0
Introduction to Networks and Cisco Devices,4.5,Advanced level,Hands-on learning," Identifying different components of computer networks such as end devices and connecting them together. Managing Cisco devices by using the Packet Tracer to simulate telnet, SSH, and Console connection.     Securing access to Cisco devices by implementing line passwords and password encryption services.  ","cisco devices, Information Technology, Computer Networks, ccna",2,339
Introduction to AI in the Data Center,4.7,Beginner level,Flexible schedule,"What is AI and AI use cases, Machine Learning, Deep Leaning, and how training and inference happen in a Deep Learning Workflow.The history and architecture of GPUs,  how they differ from CPUs, and how they are revolutionizing AI.    Become familiar with deep learning frameworks, AI software stack, and considerations when deploying AI workloads on a data center on prem or cloud.Requirements for multi-system AI clusters and considerations for infrustructure planning, including servers, networking, storage and tools. ","Artificial Intelligence (AI), Machine Learning",5,44
IBM Data Warehouse Engineer Professional Certificate,4.7,Beginner level,Flexible schedule,"Master the most up-to-date practical skills and knowledge data warehouse engineers use in their daily rolesLearn how to deploy, manage, secure, operationalize, monitor and optimize relational database systems like MySQL, PostgreSQL, and BD2Develop working knowledge of various types of SQL and queries to access and manipulate data in databasesDesign and populate data warehouses and analyze the data with Business Intelligence (BI) tools like Cognos Analytics","Enterprise Data Warehouse (EDW), Data Science, Extract Transform Load (ETL), Postgresql, Database Architecture, Business Intelligence (BI), Relational Database (RDBMS), SQL, NoSQL, MySQL, Database (DBMS), database (DB) design",120,537
Command Line in Linux,4.6,Beginner level,Hands-on learning,"List files and directories using lsUse the cd command to change directoriesUse touch, copy, mkdir, and rm to create and remove files and directories","Shell Commands, Command Line, Linux, Terminal, Bash",1,894
Data Engineering Foundations Specialization,4.7,Beginner level,Flexible schedule,"Working knowledge of Data Engineering Ecosystem and Lifecycle. Viewpoints and tips from Data professionals on starting a career in this domain.Python programming basics including data structures, logic, working with files, invoking APIs, using libraries such as Pandas and Numpy, doing ETL.Relational Database fundamentals including Database Design, Creating Schemas, Tables, Constraints, and working with MySQL, PostgreSQL & IBM Db2.SQL query language, SELECT, INSERT, UPDATE, DELETE statements, database functions, stored procs, working with multiple tables, JOINs, & transactions.","Extraction, Transformation And Loading (ETL), Python Programming, Relational Database Management System (RDBMS), Information Engineering, SQL",80,1082
Build a free website with WordPress,4.4,Intermediate level,Hands-on learning,Open a free website on WordPress it and add pages to the website  ,"Content Creation, Creativity, Web Page",1,342
Reliable Google Cloud Infrastructure: Design and Process,4.7,Advanced level,Flexible schedule,"Define application requirements and express as KPIs, SLOs, and SLIs.Build microservice applications and architect cloud and hybrid networks.Choose appropriate Google Cloud storage and deployment services.Secure cloud applications, data, and infrastructure, and monitor service levels.","Disaster Recovery, Google Cloud Platform, Cloud Computing, Site Reliability Engineering",8,7176
Azure: Create a Virtual Machine and Deploy a Web Server,4.5,Beginner level,Hands-on learning,Familiarize youself with Azure basicsCreate a Virtual Machine and the surrounding network architectureUse Bastion to connect to the Virtual Machine and deploy a Nextcloud server,"Virtual Machine, Bastion, Azure, Virtual Networks",2,157
Getting Started with Power BI Desktop,4.7,Beginner level,Hands-on learning,Import and Transform Data with Power BI DesktopVisualize Data with Power BI Desktop,"Business Intelligence, Data Analysis, Business Analytics, Data Visualization, power bi",2,3596
Amazon Translate: Translate documents with batch translation,4.1,Beginner level,Hands-on learning,"Translate a MS Word document using the Amazon Translate batch translation featureCreate a S3 Storage bucket to upload files & download translated filesCreate a batch translation job to translate documents such as Word, Excel & PPTs","Amazon S3 Storage, amazon translate, Amazon Web Services (Amazon AWS), Translation, amazon batch text translation",1,55
Cyber Security – Technology and Governance Specialization,5,Beginner level,Flexible schedule,"Some of the issues in computer security, including learning about components of computer systems, the operating system, programs, data and networkingKey security threats and risks faced in computer networks by gaining understanding of digital networks and their operationIntegrate incident management and a rich knowledge of people into a real-world Information Security Management System for an organisationNational and organisational cybersecurity culture, training, and other components which affect cybercriminal activity","Computer Security Incident Management, Cybersecurity, Cyberattacks, Information Security (INFOSEC)",80,17
Introduction to Relational Databases (RDBMS),4.6,Beginner level,Flexible schedule,"Describe data, databases, relational databases, and cloud databases.Describe information and data models, relational databases, and relational model concepts (including schemas and tables). Explain an Entity Relationship Diagram and design a relational database for a specific use case.Develop a working knowledge of popular DBMSes including MySQL, PostgreSQL, and IBM DB2","Database (DB) Design, Postgresql, Relational Database Management System (RDBMS), Database Architecture, MySQL",21,490
Security and Privacy for Big Data - Part 1,4.7,Beginner level,Flexible schedule,Recognize all security related issues in big data systems and projects.Define cryptographic principles and mechanisms to manage access controls in your Big Data system.Explain security risks and challenges for Big Data system.  ,Not specified,1,575
Introduction to Data Networks and the Internet - Bachelor's,0,Beginner level,Flexible schedule,Not specified,"Protocol Implementation, Network Monitoring and Security, Network Communication",61,0
Develop a free website with WordPress,4.2,Intermediate level,Hands-on learning,add pages and posts to the website on WordPress and create content for the posts.,"Content Creation, Creativity, Social Media Platforms",1,62
The Bits and Bytes of Computer Networking,4.7,Beginner level,Flexible schedule,Not specified,"Domain Name System (DNS), Ipv4, Network Model, Troubleshooting",27,47086
Introduction to Cloud Computing,4.6,Beginner level,Flexible schedule,"Define cloud computing and explain essential characteristics, history, the business case for cloud, and the emerging technologies enabled by cloudDescribe the cloud service models- IaaS, PaaS, SaaS, and cloud deployment models- Public, Private, Hybrid; explain cloud infrastructure componentsExplain emerging Cloud related trends including HybridMulticloud, Microservices, Serverless, Cloud Native, DevOps, and Application ModernizationList and describe services of popular cloud platforms including AWS, Microsoft Azure, Google Cloud, IBM Cloud, Alibaba Cloud, and others","Cloud Computing, Hybrid Multicloud, Devops, Iaas PaaS Saas, Cloud Native",12,5100
Introduction to Generative AI ,4.6,Beginner level,Flexible schedule,Define Generative AIExplain how Generative AI worksDescribe Generative AI Model TypesDescribe Generative AI Applications,Not specified,1,2912
Computer Forensics Specialization,4.8,Intermediate level,Flexible schedule,The student will learn about digital forensics concepts.The student will understand concepts about Windows OS forensics.The Student will be able to apply new forensics concepts for the Windows Registry.,"forensics, collecting digital evidence, windows os, windows registry, Hashing",40,170
Operating Systems and You: Becoming a Power User,4.7,Beginner level,Flexible schedule,Not specified,"Powershell, Linux File Systems, Command-Line Interface, Linux",36,26880
Computer Networking,4.2,Beginner level,Flexible schedule,"Compare and contrast Transmission Control Protocol (TCP) and User Datagram Protocol (UDP) ports, protocols, and their purposes.Analyze and compare common networking hardware.Compare and contrast protocols for wireless networking.",Not specified,25,22
Introduction to Cybersecurity Tools & Cyber Attacks,4.6,Beginner level,Flexible schedule,"Discuss the evolution of security based on historical events.  List various types of malicious software.  Describe key cybersecurity concepts including the CIA Triad, access management, incident response and common cybersecurity best practices.  Identify key cybersecurity tools which include the following:  firewall, anti-virus, cryptography, penetration testing and digital forensics.    ","Malware, Cybersecurity, Information Security (INFOSEC), IBM New Collar, Cyber Attacks",18,14941
Introduction to Networking,4.4,Beginner level,Flexible schedule,You will learn what a network is and why it is needed.Describe the network components and provide the requirements for a networking solution.Introduce the OSI model and the TCP/IP protocol suite and their role in networking.Cover the basics of Ethernet technology and understand how data is forwarded in an Ethernet network.,Not specified,1,38
Big Data Emerging Technologies,4.7,Beginner level,Flexible schedule,Not specified,Not specified,29,267
Introduction to Quantum Information,4.2,Advanced level,Flexible schedule,Not specified,Not specified,11,95
IoT (Internet of Things) Wireless & Cloud Computing Emerging Technologies,4.7,Beginner level,Flexible schedule,Not specified,Not specified,12,1144
IT Fundamentals for Cybersecurity Specialization,4.6,Beginner level,Flexible schedule,Not specified,"networking basics, Cybersecurity, database vulnerabilities, Operating System Security, Cyber Attacks",80,5193
Coding for Beginners: An Easy Introduction,3,Beginner level,Hands-on learning,Create and execute a Python program using the IDE. Write and run code to display a phrase in several languages. Recognize programming concepts. ,"Computer Programming, Python Programming, Basic Coding, Programming Language, Basic programming concepts",2,19
Get Interactive: Practical Teaching with Technology,4.8,Beginner level,Flexible schedule,Not specified,Not specified,15,1458
